JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Eu/Fe   
1323      ROE14b   CS22941-027                BPS_CS_22941-0027                    -2.71   <0.58   
1326      ROE14b   CS22943-059                BPS_CS_22943-0059                    -2.95   <0.9    
1327      ROE14b   CS22943-132                BPS_CS_22943-0132                    -2.63   0.82    
1328      ROE14e   CS22943-132                BPS_CS_22943-0132                    -2.67   0.85    
1329      ROE14a   CS22943-201                BPS_CS_22943-0201                    -2.68   <0.73   
1330      ROE14b   CS22943-201                BPS_CS_22943-0201                    -2.68   <0.73   
1331      ROE14b   CS22944-014                BPS_CS_22944-0014                    -2.64   <1.0    
1332      ROE14b   CS22944-061                BPS_CS_22944-0061                    -2.96   <1.16   
1333      ROE14b   CS22945-017                BPS_CS_22945-0017                    -2.89   1.29    
1334      ROE14e   CS22945-017                BPS_CS_22945-0017                    -2.73   1.12    
1336      PRE06    CS22945-056                BPS_CS_22945-0056                    -2.9    0.34    
1337      ROE14b   CS22945-056                BPS_CS_22945-0056                    -2.82   0.67    
1338      ROE14b   CS22945-058                BPS_CS_22945-0058                    -2.98   1.4     
1339      ROE14e   CS22945-058                BPS_CS_22945-0058                    -2.71   1.12    
1340      ROE14b   CS22945-063                BPS_CS_22945-0063                    -2.84   <0.55   
1342      MAS12    CS22947-187                BPS_CS_22947-0187                    -2.61   0.69    
1343      MCW95    CS22947-187                BPS_CS_22947-0187                    -2.47   0.7     
1344      ROE14b   CS22947-187                BPS_CS_22947-0187                    -2.58   0.55    
1354      ROE14b   CS22951-005                BPS_CS_22951-0005                    -2.74   <0.62   
1355      ROE14b   CS22951-059                BPS_CS_22951-0059                    -2.84   0.33    
1357      ROE14b   CS22954-004                BPS_CS_22954-0004                    -3.0    <1.06   
1360      PRE06    CS22955-174                BPS_CS_22955-0174                    -2.89   0.6     
1362      ROE14b   CS22956-015                BPS_CS_22956-0015                    -2.81   <1.1    
1363      ROE14b   CS22956-021                BPS_CS_22956-0021                    -2.73   <0.94   
1365      ROE14b   CS22956-062                BPS_CS_22956-0062                    -2.75   <0.77   
1366      ROE14b   CS22956-081                BPS_CS_22956-0081                    -2.71   <1.51   
1367      ROE14b   CS22956-102                BPS_CS_22956-0102                    -2.39   1.0     
1368      ROE14b   CS22956-106                BPS_CS_22956-0106                    -2.69   <1.42   
1371      ROE14b   CS22957-019                BPS_CS_22957-0019                    -2.43   <1.03   
1372      ROE14b   CS22957-024                BPS_CS_22957-0024                    -2.91   <1.14   
1373      ROE14b   CS22957-036                BPS_CS_22957-0036                    -2.28   0.74    
1374      ROE14b   CS22958-037                BPS_CS_22958-0037                    -2.51   0.51    
1376      ROE14b   CS22958-052                BPS_CS_22958-0052                    -2.62   1.2     
1377      ROE14e   CS22958-052                BPS_CS_22958-0052                    -2.42   0.99    
1378      ROE14b   CS22958-065                BPS_CS_22958-0065                    -2.29   <0.68   
1379      ROE14b   CS22958-074                BPS_CS_22958-0074                    -2.67   <0.89   
1380      ROE14b   CS22959-074                BPS_CS_22959-0074                    -2.6    <-0.14  
1381      ROE14b   CS22959-139                BPS_CS_22959-0139                    -2.67   <0.99   
1386      ROE14b   CS22964-115                BPS_CS_22964-0115                    -2.82   <1.16   
1387      ROE14b   CS22964-176                BPS_CS_22964-0176                    -2.56   <1.22   
1390      ROE14b   CS22964-214                BPS_CS_22964-0214                    -2.95   <1.24   
1401      ROE14b   CS22968-026                BPS_CS_22968-0026                    -2.57   0.83    
1403      ROE14b   CS29493-023                BPS_CS_29493-0023                    -2.89   <1.1    
1404      ROE14b   CS29493-050                BPS_CS_29493-0050                    -2.92   <1.36   
1405      ROE14b   CS29493-062                BPS_CS_29493-0062                    -2.76   0.48    
1406      ROE14b   CS29493-094                BPS_CS_29493-0094                    -2.66   <1.05   
1407      ROE14b   CS29495-005                BPS_CS_29495-0005                    -2.44   <0.85   
1409      ROE14b   CS29499-003                BPS_CS_29499-0003                    -2.51   0.79    
1410      ROE14b   CS29499-058                BPS_CS_29499-0058                    -2.81   0.64    
1411      ROE14b   CS29501-032                BPS_CS_29501-0032                    -2.92   <1.38   
1412      PRE06    CS22937-072                BPS_CS_29501-0051                    -2.74   0.1     
1413      ROE14b   CS22937-072                BPS_CS_29501-0051                    -2.72   -0.18   
1414      ROE14b   CS29504-004                BPS_CS_29504-0004                    -2.38   <1.44   
1418      LAI08    CS29506-007                BPS_CS_29506-0007                    -2.84   <0.82   
1428      ROE14b   CS22886-003                BPS_CS_29512-0030                    -2.92   <1.18   
1429      ALL12    CS29512-073                BPS_CS_29512-0073                    -2.06   0.55    
1430      HAN12    CS29512-073                BPS_CS_29512-0073                    -2.67   0.07    
1431      MAS12    CS29512-073                BPS_CS_29512-0073                    -2.14   0.32    
1432      ROE14b   CS29513-003                BPS_CS_29513-0003                    -2.47   0.5     
1433      ROE14b   CS29513-014                BPS_CS_29513-0014                    -2.32   0.24    
1434      ROE14b   CS29513-015                BPS_CS_29513-0015                    -2.63   <0.94   
1435      ROE10    CS29513-031                BPS_CS_29513-0031                    -2.64   <1.11   
1436      ROE14b   CS29513-031                BPS_CS_29513-0031                    -2.67   <1.28   
1437      ROE10    CS29513-032                BPS_CS_29513-0032                    -2.08   0.36    
1438      ROE14b   CS29517-018                BPS_CS_29517-0018                    -2.78   <0.88   
1439      ROE14b   CS29517-042                BPS_CS_29517-0042                    -2.53   <0.74   
1440      LAI08    CS29522-046                BPS_CS_29522-0046                    -2.08   <0.06   
1454      ROE14b   CS22888-014                BPS_CS_30493-0023                    -2.73   <1.01   
1455      ROE14b   CS30493-071                BPS_CS_30493-0071                    -2.82   <0.79   
1460      LAI08    CS31085-024                BPS_CS_31085-0024                    -2.67   <0.55   
1463      BAB05    CS29497-034                C*_26                                -2.9    1.79    
1464      SHE03    Car3                       C*_3                                 -1.63   0.36    
1465      SHE03    Car12                      Case_520                             -1.39   0.01    
1477      BUR00    CD-241782                  CD-24_1782                           -2.2    <-0.02  
1482      ROE14b   CS29497-030                CD-24_266                            -2.52   1.71    
1484      FUL00    HIP31639                   CD-25_3416                           -0.6    0.2     
1486      AOK02d   CS22942-019                CD-26_304                            -2.64   0.82    
1487      HAN15    HE0054-2542                CD-26_304                            -2.48   0.78    
1488      PRE01    CS22942-019                CD-26_304                            -2.67   0.79    
1492      ROE14b   CS29509-027                CD-31_306                            -2.42   <1.12   
1518      AOK07b   COS82                      COS_82                               -1.47   1.29    
1519      PRE06    CS22891-184                DENIS_J192612.3-603406               -2.59   0.12    
1520      ROE14b   CS22891-184                DENIS_J192612.3-603406               -2.68   <0.29   
1521      PRE06    CS22951-077                DENIS_J215753.2-430808               -2.43   0.14    
1522      ROE14b   CS22951-077                DENIS_J215753.2-430808               -2.54   -0.01   
1523      JI16b    Star3                      DES_J033447.94-540525.0              -2.91   1.87    
1524      ROE16a   Star1(Ret2-80)             DES_J033447.94-540525.0              -2.76   <1.75   
1525      JI16b    Star9                      DES_J033454.24-540558.0              -2.77   2.11    
1526      JI16b    Star8                      DES_J033457.57-540531.4              -2.08   1.77    
1528      ROE16a   Star2                      DES_J033523.85-540407.5              -2.95   <1.68   
1531      JI16b    Star6                      DES_J033537.06-540401.2              -2.73   1.7     
1532      JI16b    Star5                      DES_J033548.04-540349.8              -2.19   0.95    
1534      JI16b    Star2                      DES_J033607.75-540235.6              -2.97   1.74    
1535      ROE16a   Star4(Ret2-178)            DES_J033607.75-540235.6              -2.93   1.78    
1536      ROE14b   G10-54                     G_10-54                              -2.29   <1.25   
1538      RYA96    G108-33                    G_108-33                             -2.69   <1.7    
1542      ROE14b   G122-69                    G_122-69                             -2.78   <1.39   
1546      ROE14b   G25-22                     G_145-28                             -2.33   <0.69   
1550      ISH13    G154-34                    G_154-34                             -2.24   0.49    
1551      ROE14b   G166-47                    G_166-47                             -2.46   <1.14   
1554      ROE14b   G214-1                     G_214-1                              -2.29   0.56    
1561      ROE14b   G25-24                     G_25-24                              -2.11   <0.53   
1563      ROE14b   CS22180-014                G_272-44                             -2.86   <0.91   
1568      IVA03    G4-36                      G_4-36                               -1.93   <1.12   
1569      ROE14b   G4-36                      G_4-36                               -2.17   <0.33   
1571      ROE14b   G4-37                      G_4-37                               -2.73   <0.87   
1573      ROE14b   G75-56                     G_75-56                              -2.35   <0.9    
1575      ROE14b   G90-3                      G_90-3                               -2.4    0.11    
1578      ROE14b   CS29514-007                GD_678                               -2.83   <1.74   
1581      FUL00    HIP57939                   HD_103095                            -1.44   0.69    
1583      FUL00    HIP58229                   HD_103723                            -0.92   0.29    
1586      BUR00    HD105546                   HD_105546                            -1.0    0.04    
1590      ISH13    HD106373                   HD_106373                            -2.52   0.05    
1591      ROE14b   HD106373                   HD_106373                            -2.61   0.43    
1592      FUL00    HIP59750                   HD_106516                            -0.76   0.18    
1596      ISH13    HD107752                   HD_107752                            -2.83   0.35    
1600      BUR00    LTT13498                   HD_108317                            -2.2    0.66    
1602      HAN12    HD108317                   HD_108317                            -2.11   0.33    
1604      ISH13    HD108317                   HD_108317                            -2.28   0.52    
1608      ROE12b   HD108317                   HD_108317                            -2.53   0.64    
1609      ROE14b   HD108317                   HD_108317                            -2.62   0.32    
1616      ISH13    HD108577                   HD_108577                            -2.23   0.41    
1617      JOH02a   HD108577                   HD_108577                            -2.36   0.36    
1619      BUR00    HD110184                   HD_110184                            -2.2    0.08    
1621      HAN12    HD110184                   HD_110184                            -2.4    0.21    
1622      HON04    HD110184                   HD_110184                            -2.51   0.08    
1623      FUL00    HIP62747                   HD_111721                            -1.52   0.23    
1625      FUL00    HIP62882                   HD_111980                            -1.24   0.24    
1626      FUL00    HIP64115                   HD_114095                            -0.72   0.36    
1627      FUL00    HIP64426                   HD_114762                            -0.8    0.23    
1628      BUR00    HD115444                   HD_115444                            -3.0    0.87    
1629      HAN12    HD115444                   HD_115444                            -3.0    0.78    
1630      HON04    HD115444                   HD_115444                            -2.84   0.68    
1636      WES00    HD115444                   HD_115444                            -2.96   0.81    
1637      ROE14b   HD11582                    HD_11582                             -1.84   0.24    
1640      FUL00    HIP65268                   HD_116316                            -0.65   0.24    
1641      FUL00    HIP66246                   HD_118055                            -1.89   0.51    
1642      FUL00    HIP66509                   HD_118659                            -0.66   0.22    
1643      FUL00    HIP66815                   HD_119173                            -0.62   0.19    
1645      ROE10    HD119516                   HD_119516                            -2.26   0.31    
1654      AOK05    HD122563                   HD_122563                            -2.62   -0.54   
1657      BUR00    HD122563                   HD_122563                            -3.0    -0.02   
1660      HAN12    HD122563                   HD_122563                            -2.81   -0.52   
1661      HOL11    HD122563                   HD_122563                            -2.96   <0.73   
1662      HON04    HD122563                   HD_122563                            -2.76   -0.36   
1663      HON06    HD122563                   HD_122563                            -2.77   -0.52   
1664      HON07    HD122563                   HD_122563                            -2.77   -0.52   
1665      JOH02a   HD122563                   HD_122563                            -2.73   -0.64   
1668      NOR97b   HD122563                   HD_122563                            -2.68   -0.33   
1671      ROE14b   HD122563                   HD_122563                            -2.97   -0.8    
1672      RYA96    HD122563                   HD_122563                            -2.68   <-0.67  
1676      WES00    HD122563                   HD_122563                            -2.72   -0.39   
1677      BUR00    HD122956                   HD_122956                            -1.7    0.46    
1678      FUL00    HIP68807                   HD_122956                            -1.81   0.37    
1679      FUL00    HIP68796                   HD_123710                            -0.5    0.17    
1681      BUR00    HD126587                   HD_126587                            -3.0    0.89    
1684      HON04    HIP70647                   HD_126587                            -2.77   0.55    
1686      MCW95    HD126587                   HD_126587                            -2.83   0.37    
1691      BUR00    LTT5780                    HD_128279                            -2.0    -0.09   
1692      HAN12    HD128279                   HD_128279                            -2.34   -0.29   
1695      ISH13    HD128279                   HD_128279                            -2.15   0.05    
1696      JOH02a   HD128279                   HD_128279                            -2.38   0.08    
1699      ROE10    HD128279                   HD_128279                            -2.51   -0.28   
1701      ROE12b   HD128279                   HD_128279                            -2.48   0.0     
1702      ROE14b   HD128279                   HD_128279                            -2.52   -0.28   
1707      FUL00    HIP71886                   HD_129392                            -0.38   0.25    
1708      FUL00    HIP71887                   HD_129515                            -0.47   0.08    
1709      FUL00    HIP71939                   HD_129518                            -0.35   0.13    
1712      FUL00    HIP74067                   HD_134088                            -0.88   0.47    
1713      FUL00    HIP74033                   HD_134113                            -0.76   0.27    
1714      FUL00    HIP74079                   HD_134169                            -0.81   0.28    
1715      FUL00    HIP74235                   HD_134439                            -1.55   0.27    
1717      FUL00    HIP74234                   HD_134440                            -1.49   0.37    
1718      BUR00    HD135148                   HD_135148                            -1.7    0.37    
1719      BUR00    HD13979                    HD_13979                             -3.0    0.35    
1720      MCW95    HD13979                    HD_13979                             -2.63   -0.12   
1721      ROE14b   HD13979                    HD_13979                             -2.97   -0.04   
1739      RYA96    HD140283                   HD_140283                            -2.54   <0.56   
1740      SIQ12    HD140283                   HD_140283                            -2.58   -0.29   
1743      FUL00    HIP77946                   HD_142575                            -0.95   0.21    
1747      FUL00    HIP80837                   HD_148816                            -0.81   0.28    
1748      FUL00    HIP81170                   HD_149414                            -1.24   0.47    
1749      FUL00    HIP81461                   HD_149996                            -0.63   0.52    
1750      FUL00    HIP11349                   HD_15096                             -0.27   0.27    
1751      FUL00    HIP85007                   HD_157466                            -0.48   -0.07   
1752      FUL00    HIP85378                   HD_158226                            -0.62   0.41    
1753      FUL00    HIP85757                   HD_158809                            -0.74   0.24    
1754      FUL00    HIP86013                   HD_159482                            -0.8    0.34    
1757      FUL00    HIP86431                   HD_160693                            -0.62   0.19    
1758      FUL00    HIP88039                   HD_163799                            -0.94   0.39    
1761      FUL00    HIP12306                   HD_16397                             -0.61   0.08    
1762      BUR00    HD166161                   HD_166161                            -1.0    -0.21   
1765      BUR00    HD171496                   HD_171496                            -1.0    -0.07   
1766      FUL00    HIP91058                   HD_171620                            -0.52   0.04    
1767      FUL00    HIP92532                   HD_174912                            -0.54   0.13    
1768      FUL00    HIP92781                   HD_175179                            -0.73   0.34    
1769      BUR00    G259-35                    HD_175305                            -1.5    0.53    
1770      FUL00    HIP92167                   HD_175305                            -1.45   0.45    
1772      ROE14b   HD175606                   HD_175606                            -2.39   0.28    
1773      FUL00    HIP13366                   HD_17820                             -0.75   0.25    
1774      MCW95    HD178443                   HD_178443                            -2.05   0.34    
1775      ROE14b   HD178443                   HD_178443                            -1.99   0.25    
1776      FUL00    HIP94449                   HD_179626                            -1.24   0.44    
1777      FUL00    HIP96185                   HD_184499                            -0.56   0.26    
1778      FUL00    HIP97023                   HD_186379                            -0.46   0.07    
1781      BUR00    HD186478                   HD_186478                            -2.2    0.18    
1782      CAY04    HD186478                   HD_186478                            -2.57   0.45    
1783      HAN12    HD186478                   HD_186478                            -2.42   0.49    
1784      HON04    HD186478                   HD_186478                            -2.49   0.63    
1785      JOH02a   HD186478                   HD_186478                            -2.59   0.51    
1786      MCW95    HD186478                   HD_186478                            -2.56   0.45    
1788      ROE14b   HD186478                   HD_186478                            -2.75   0.23    
1791      BUR00    HD187111                   HD_187111                            -1.7    0.31    
1792      FUL00    HIP97468                   HD_187111                            -1.69   0.24    
1795      FUL00    HIP98532                   HD_189558                            -1.21   0.03    
1796      FUL00    HIP99938                   HD_192718                            -0.72   0.38    
1797      FUL00    HIP100568                  HD_193901                            -1.15   0.64    
1800      HAN12    HD19445                    HD_19445                             -2.13   0.36    
1802      ROE14b   HD19445                    HD_19445                             -2.29   -0.02   
1807      FUL00    HIP101346                  HD_195633                            -0.63   0.06    
1808      FUL00    HIP101382                  HD_195987                            -0.64   0.26    
1810      AOK02d   HD196944                   HD_196944                            -2.25   0.2     
1812      PLA15b   HD196944                   HD_196944                            -2.41   -0.11   
1814      ROE14b   HD196944                   HD_196944                            -2.39   0.12    
1817      BAR05    HD20                       HD_20                                -1.58   0.79    
1818      BUR00    HD20                       HD_20                                -1.2    0.57    
1824      PLA15b   HD201626                   HD_201626                            -1.51   0.95    
1827      FUL00    HIP104659                  HD_201891                            -1.1    0.21    
1830      BUR00    HD204543                   HD_204543                            -1.5    0.11    
1832      FUL00    HIP15394                   HD_20512                             -0.28   0.0     
1833      BUR00    HD206739                   HD_206739                            -1.7    0.46    
1834      FUL00    HIP109390                  HD_210295                            -1.32   0.36    
1840      ROE14b   HD214362                   HD_214362                            -2.06   0.4     
1841      FUL00    HIP16214                   HD_21581                             -1.72   0.48    
1842      BUR00    HD216143                   HD_216143                            -2.0    0.24    
1843      FUL00    HIP112796                  HD_216143                            -2.23   0.5     
1844      JOH02a   HD216143                   HD_216143                            -2.21   0.41    
1847      BUR00    HD218857                   HD_218857                            -2.0    -0.1    
1851      BUR00    HD220838                   HD_220838                            -1.7    0.34    
1852      BAR05    HD221170                   HD_221170                            -2.15   0.83    
1853      BUR00    HD221170                   HD_221170                            -2.0    0.64    
1854      FUL00    HIP115949                  HD_221170                            -2.17   0.59    
1855      IVA06    HD221170                   HD_221170                            -2.16   0.78    
1863      BUR00    BD+541323                  HD_233666                            -1.5    0.31    
1866      BUR00    HD237846                   HD_237846                            -3.0    0.48    
1869      ISH13    HD237846                   HD_237846                            -2.85   -0.16   
1873      FUL00    HIP18235                   HD_24616                             -0.7    0.31    
1875      BUR00    HD25532                    HD_25532                             -1.2    -0.17   
1876      FUL00    HIP18995                   HD_25532                             -1.24   0.36    
1879      ROE14b   HD26169                    HD_26169                             -2.8    -0.14   
1880      BUR00    HD26297                    HD_26297                             -1.7    -0.07   
1881      FUL00    HIP19378                   HD_26297                             -1.71   0.0     
1882      BUR00    HD2665                     HD_2665                              -3.0    1.25    
1887      BUR00    HD2796                     HD_2796                              -3.0    0.7     
1888      CAY04    HD2796                     HD_2796                              -2.45   0.08    
1889      MCW95    HD2796                     HD_2796                              -2.49   0.09    
1892      FUL00    HIP21767                   HD_280067                            -0.42   0.25    
1899      ISH13    HD33771                    HD_33771                             -2.03   0.16    
1907      ROE14b   HD338529                   HD_338529                            -2.6    <0.71   
1915      ISH13    BD-145890                  HD_358059                            -2.16   0.02    
1916      FUL00    HIP3086                    HD_3628                              -0.15   0.17    
1921      HON04    HIP3554                    HD_4306                              -2.88   -0.6    
1922      HON11    HIP3554                    HD_4306                              -2.86   -0.58   
1924      BUR00    HD44007                    HD_44007                             -1.5    -0.02   
1932      FUL00    HIP34146                   HD_53545                             -0.38   0.12    
1933      FUL00    HIP34548                   HD_53871                             -0.44   0.32    
1935      ISH13    HD5426                     HD_5426                              -2.18   0.47    
1936      MCW95    HD5426                     HD_5426                              -2.39   0.49    
1937      FUL00    HIP36491                   HD_59374                             -0.91   0.28    
1941      BUR00    HD6268                     HD_6268                              -3.0    1.15    
1942      HON04    HD6268                     HD_6268                              -2.62   0.54    
1943      MCW95    HD6268                     HD_6268                              -2.56   0.64    
1945      ROE14b   HD6268                     HD_6268                              -2.82   0.43    
1948      BUR00    HD63791                    HD_63791                             -1.5    -0.07   
1950      JOH02a   HD63791                    HD_63791                             -1.7    0.06    
1952      FUL00    HIP38541                   HD_64090                             -1.77   0.03    
1953      ROE14b   HD64090                    HD_64090                             -2.03   0.07    
1954      FUL00    HIP38625                   HD_64606                             -0.84   0.26    
1955      BUR00    LHS1206                    HD_6755                              -1.5    0.42    
1956      FUL00    HIP5445                    HD_6755                              -1.56   0.62    
1958      FUL00    HIP5458                    HD_6833                              -1.02   0.53    
1964      BUR00    HD74462                    HD_74462                             -1.4    0.15    
1966      FUL00    HIP44116                   HD_76910                             -0.56   -0.07   
1974      BUR00    HD83212                    HD_83212                             -1.2    0.27    
1976      FUL00    HIP47640                   HD_83888                             -0.06   -0.02   
1984      ISH13    G43-3                      HD_84937                             -2.15   0.1     
1990      BUR00    HD85773                    HD_85773                             -2.0    -0.13   
1993      ISH13    HD085773                   HD_85773                             -2.41   -0.04   
1996      BUR00    HD8724                     HD_8724                              -2.2    0.55    
1997      FUL00    HIP6710                    HD_8724                              -1.81   0.38    
1998      BUR00    HD88609                    HD_88609                             -3.0    -0.27   
1999      FUL00    HIP50173                   HD_88609                             -2.99   -0.03   
2000      HAN12    HD88609                    HD_88609                             -2.87   -0.51   
2003      JOH02a   HD88609                    HD_88609                             -2.95   -0.53   
2006      FUL00    HIP50139                   HD_88725                             -0.66   0.43    
2009      FUL00    HIP53070                   HD_94028                             -1.53   0.3     
2016      FUL00    HIP55022                   HD_97916                             -0.88   -0.03   
2043      HAN15    HE1241-2907                HE_1241-2907                         -3.0    <2.4    
2057      PLA13    HE2138-3336                HE_2138-3336                         -2.79   1.09    
2071      PLA14a   HE2157-3404                HE_2157-3404                         -2.89   -0.56   
2073      HAN15    HE2208-1239                HE_2208-1239                         -2.88   1.52    
2075      HOL11    HE2238-0131                HE_2238-0131                         -3.0    0.14    
2078      PLA13    HE2258-6358                HE_2258-6358                         -2.67   1.68    
2084      COH09    Draco3157                  Irwin_Dra_21275                      -2.5    <3.22   
2085      KOC15    896-37860                  J183025.73-343130.0                  -2.07   0.02    
2087      KOC15    872-13971                  J183256.52-344529.3                  -2.31   -0.0    
2088      KOC15    873-17221                  J183426.75-345554.4                  -2.66   -0.01   
2089      KOC15    874-24995                  J183558.75-345839.1                  -2.5    0.06    
2093      ROE14b   G180-58                    LHS_3199                             -2.6    <0.65   
2094      ROE14b   G115-49                    LHS_6161                             -2.61   <0.79   
2097      COH13    HE1509-0252                LP_622-13                            -2.85   <1.09   
2099      AOK02d   LP625-44                   LP_625-44                            -2.72   2.0     
2101      AOK02b   LP625-44                   LP_625-44                            -2.72   1.76    
2102      NOR97b   LP625-44                   LP_625-44                            -2.68   1.74    
2113      AOK02d   CS31062-012                LP_706-7                             -2.55   1.65    
2115      NOR97b   G270-51                    LP_706-7                             -2.74   1.39    
2123      COH04    LP831-70                   LP_831-70                            -2.91   <1.51   
2124      COH13    LP831-700                  LP_831-70                            -2.86   <1.47   
2128      ROE08    HKII17435-00532            HKII_17435-00532                     -2.23   0.47    
2131      BEH10    SDSSJ091243.72+021623.7    SDSS_J0912+0216                      -2.53   1.23    
2137      SHE01    UMi199                     UMi_COS_82                           -1.43   1.46    
2139      GEI05    Star1446                   OGLE_Scl_687                         -1.2    -0.31   
2166      ISH13    HE0938+0114                Ross_889                             -2.45   1.37    
2172      ROE14b   CS29514-018                SB_467                               -2.84   <0.86   
2176      ROE14b   CS29499-060                SB_966                               -2.79   <0.88   
2346      JAC15    SMSS_J000113.96-363337.9   SMSS_J000113.96-363337.9             -2.32   -0.55   
2347      JAC15    SMSS_J001039.86-525851.4   SMSS_J001039.86-525851.4             -2.32   0.4     
2348      JAC15    SMSS_J001952.15-525803.0   SMSS_J001952.15-525803.0             -2.56   0.45    
2350      JAC15    SMSS_J003055.81-482011.3   SMSS_J003055.81-482011.3             -2.53   0.51    
2357      JAC15    SMSS_J012147.80-495328.2   SMSS_J012147.80-495328.2             -1.59   0.08    
2358      JAC15    SMSS_J014624.60-352457.7   SMSS_J014624.60-352457.7             -2.81   0.13    
2359      JAC15    SMSS_J015350.94-775525.6   SMSS_J015350.94-775525.6             -2.62   <-0.14  
2361      JAC15    SMSS_J020748.93-465616.4   SMSS_J020748.93-465616.4             -2.71   0.34    
2362      JAC15    SMSS_J021323.26-495936.5   SMSS_J021323.26-495936.5             -2.87   0.0     
2365      JAC15    SMSS_J022452.58-731051.8   SMSS_J022452.58-731051.8             -2.55   <0.63   
2366      JAC15    SMSS_J022545.31-774119.9   SMSS_J022545.31-774119.9             -2.63   <0.7    
2367      JAC15    SMSS_J022756.48-684256.6   SMSS_J022756.48-684256.6             -2.22   <0.35   
2368      JAC15    SMSS_J023139.43-523957.4   SMSS_J023139.43-523957.4             -2.94   <0.0    
2375      JAC15    SMSS_J034249.53-284216.0   SMSS_J034249.53-284216.0             -2.33   0.31    
2377      JAC15    SMSS_J041957.56-493818.3   SMSS_J041957.56-493818.3             -2.97   <-0.3   
2379      JAC15    SMSS_J055746.51-575057.4   SMSS_J055746.51-575057.4             -2.5    <0.33   
2380      JAC15    SMSS_J061725.30-600740.6   SMSS_J061725.30-600740.6             -2.72   0.1     
2381      JAC15    SMSS_J062609.83-590503.2   SMSS_J062609.83-590503.2             -2.77   1.06    
2383      JAC15    SMSS_J064349.43-653038.6   SMSS_J064349.43-653038.6             -2.48   -0.49   
2385      JAC15    SMSS_J070257.95-600422.4   SMSS_J070257.95-600422.4             -2.62   <0.05   
2386      JAC15    SMSS_J080050.54-724620.6   SMSS_J080050.54-724620.6             -2.08   0.21    
2388      JAC15    SMSS_J090247.43-122755.0   SMSS_J090247.43-122755.0             -2.4    0.36    
2389      JAC15    SMSS_J091210.40-064427.9   SMSS_J091210.40-064427.9             -2.64   <0.42   
2393      JAC15    SMSS_J094755.04-102724.7   SMSS_J094755.04-102724.7             -2.99   <0.27   
2394      JAC15    SMSS_J095120.49-401431.3   SMSS_J095120.49-401431.3             -1.48   0.3     
2395      JAC15    SMSS_J100251.13-000152.1   SMSS_J100251.13-000152.1             -2.62   <0.8    
2396      JAC15    SMSS_J105320.99-435300.1   SMSS_J105320.99-435300.1             -1.86   0.37    
2397      JAC15    SMSS_J105438.86-435819.9   SMSS_J105438.86-435819.9             -1.98   0.25    
2399      JAC15    SMSS_J121353.63-441911.2   SMSS_J121353.63-441911.2             -2.59   0.12    
2400      JAC15    SMSS_J121716.48-442510.2   SMSS_J121716.48-442510.2             -2.1    0.28    
2404      JAC15    SMSS_J125115.37-331448.1   SMSS_J125115.37-331448.1             -2.64   <1.02   
2405      JAC15    SMSS_J125125.64-340343.4   SMSS_J125125.64-340343.4             -2.52   <0.8    
2406      JAC15    SMSS_J125451.18-334440.3   SMSS_J125451.18-334440.3             -2.81   <1.09   
2408      JAC15    SMSS_J130537.01-294438.3   SMSS_J130537.01-294438.3             -2.35   0.08    
2409      JAC15    SMSS_J133013.61-434632.4   SMSS_J133013.61-434632.4             -2.54   0.17    
2410      JAC15    SMSS_J133532.32-210632.9   SMSS_J133532.32-210632.9             -2.73   0.31    
2411      JAC15    SMSS_J135217.78-151405.7   SMSS_J135217.78-151405.7             -2.56   <0.9    
2412      JAC15    SMSS_J135625.09-161538.7   SMSS_J135625.09-161538.7             -2.76   <0.34   
2413      JAC15    SMSS_J135819.95-150937.4   SMSS_J135819.95-150937.4             -2.58   <0.66   
2414      JAC15    SMSS_J141547.72-414034.0   SMSS_J141547.72-414034.0             -2.26   <-0.26  
2416      JAC15    SMSS_J151101.05-182103.0   SMSS_J151101.05-182103.0             -2.71   <0.29   
2417      JAC15    SMSS_J151450.18-182946.0   SMSS_J151450.18-182946.0             -2.73   <1.01   
2418      JAC15    SMSS_J155430.57-263904.8   SMSS_J155430.57-263904.8             -2.61   1.14    
2419      JAC15    SMSS_J155628.74-165533.4   SMSS_J155628.74-165533.4             -2.79   <0.15   
2420      JAC15    SMSS_J160447.75-293146.7   SMSS_J160447.75-293146.7             -2.66   0.31    
2421      JAC15    SMSS_J164921.94-041943.9   SMSS_J164921.94-041943.9             -2.24   0.68    
2422      JAC15    SMSS_J165023.82-252948.7   SMSS_J165023.82-252948.7             -2.48   0.56    
2423      JAC15    SMSS_J165219.76-253133.7   SMSS_J165219.76-253133.7             -2.2    0.23    
2426      JAC15    SMSS_J174048.48-143635.6   SMSS_J174048.48-143635.6             -2.5    <-0.12  
2427      JAC15    SMSS_J174916.38-455427.5   SMSS_J174916.38-455427.5             -2.51   0.12    
2428      JAC15    SMSS_J174922.26-455103.8   SMSS_J174922.26-455103.8             -2.77   0.42    
2429      HOW15    J175021.86-414627.1        SMSS_J175021.86-414627.1             -2.6    0.23    
2430      JAC15    SMSS_J175021.86-414627.2   SMSS_J175021.86-414627.2             -2.76   <0.24   
2431      JAC15    SMSS_J175046.30-425506.9   SMSS_J175046.30-425506.9             -2.17   1.75    
2435      HOW15    J175544.54-392700.9        SMSS_J175544.54-392700.9             -2.65   -0.21   
