JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Eu/Fe   
282       BAR05    HE0337-5127                2MASS_J03391312-5118163              -2.61   0.59    
283       BAR05    HE0338-3945                2MASS_J03395500-3935429              -2.41   1.88    
289       BAR05    HE0341-4024                2MASS_J03430809-4015295              -1.82   0.68    
290       LI15a    LAMOSTJ0343-0227           2MASS_J03432286-0227560              -2.42   -0.09   
295       PRE06    CS22190-007                2MASS_J03522180-1624325              -2.57   0.33    
298       ROE14b   CS30494-003                2MASS_J03591002-2106479              -2.97   0.02    
299       ROE14b   CS29529-054                2MASS_J03592387-6210089              -2.55   0.7     
300       ROE14e   CS29529-054                2MASS_J03592387-6210089              -2.75   0.89    
317       HAN15    HE0411-3558                2MASS_J04130905-3550386              -2.81   <1.5    
318       PRE06    CS22186-005                2MASS_J04130905-3550386              -2.7    0.68    
320       ROE14b   CS22186-002                2MASS_J04135721-3646255              -2.72   0.65    
321       ROE14b   CS22186-017                2MASS_J04162226-3417576              -2.82   <0.91   
326       PRE06    CS22182-033                2MASS_J04231047-3037041              -2.67   0.38    
327       ROE14b   CS22182-033                2MASS_J04231047-3037041              -2.65   0.58    
331       CAY04    CS22186-025                2MASS_J04243280-3709025              -3.0    0.53    
334       BAR05    HE0430-4901                2MASS_J04313114-4854416              -2.72   1.15    
341       BAR05    HE0442-1234                2MASS_J04445170-1228454              -2.41   0.51    
342       HAN12    HE0442-1234                2MASS_J04445170-1228454              -2.32   0.27    
349       BAR05    HE0501-5644                2MASS_J05023526-5640208              -2.4    0.29    
353       BAR05    HE0512-3835                2MASS_J05135949-3831546              -2.39   0.36    
355       BAR05    HE0516-3820                2MASS_J05181291-3817326              -2.32   0.65    
356       SIQ14    HE0516-3820                2MASS_J05181291-3817326              -2.48   0.62    
361       BAR05    HE0524-2055                2MASS_J05270444-2052420              -2.59   0.48    
363       SIQ14    HE0524-2055                2MASS_J05270444-2052420              -2.74   0.47    
364       BAR05    2MASSJ05355294-4613359     2MASS_J05355294-4613359              -2.01   0.49    
366       BAR05    HE0538-4515                2MASS_J05394613-4513330              -1.52   0.5     
375       FRE10a   UMa-S3                     2MASS_J08525902+6305544              -2.39   <-0.33  
377       BAR05    HE0858-0016                2MASS_J09013236-0028019              -2.75   -0.02   
379       JAC15    2MASS_J09380777-0600392    2MASS_J09380777-0600392              -2.68   <0.76   
383       ALL12    BS15621-047                2MASS_J10093496+2559273              -2.29   0.78    
396       JAC15    2MASS_J10275895-3006391    2MASS_J10275895-3006391              -2.96   <0.64   
398       JAC15    2MASS_J10294248-0103238    2MASS_J10294248-0103238              -2.39   0.22    
