# X Y X1 X2 Y1 Y2
   -2.85     0.04     0.17     0.17     0.18     0.18  #CS22896-110 
   -3.83    -0.03     0.15     0.15      0.2      0.2  #CS22897-008 
   -2.72    -0.18     0.17     0.17     0.26     0.26  #CS22937-072 
   -3.14     0.25     0.17     0.17     0.18     0.18  #CS22940-121 
   -3.11     0.39     0.15     0.15     0.19     0.19  #CS22941-017 
   -2.88     0.18     0.15     0.15     0.17     0.17  #CS22942-011 
   -3.08     0.02     0.15     0.15     0.21     0.21  #CS22942-035 
   -2.92     0.26     0.15     0.15     0.16     0.16  #CS22945-028 
   -2.82     0.67     0.17     0.17     0.22     0.22  #CS22945-056 
   -2.84     0.33     0.14     0.14     0.18     0.18  #CS22951-059 
    -3.1     0.35     0.17     0.17     0.18     0.18  #CS22955-174 
   -3.19      0.2     0.15     0.15     0.18     0.18  #CS22956-114 
   -2.98    -0.31     0.15     0.15     0.17     0.17  #CS22957-013 
   -2.51     0.51     0.17     0.17     0.16     0.16  #CS22958-037 
   -2.77     0.34     0.14     0.14     0.16     0.16  #CS22960-064 
   -3.13    -0.04     0.14     0.14     0.18     0.18  #CS22965-016 
   -2.76     0.48     0.21     0.21     0.26     0.26  #CS29493-062 
   -3.22     0.31     0.14     0.14     0.16     0.16  #CS30312-044 
   -3.41     0.41     0.15     0.15     0.17     0.17  #CS30312-059 
   -2.69     0.57     0.17     0.17     0.17     0.17  #CS30339-052 
   -3.27     0.28     0.15     0.15     0.16     0.16  #CS30492-110 
   -2.97     0.02     0.15     0.15     0.18     0.18  #CS30494-003 
   -2.93    -0.07     0.15     0.15     0.19     0.19  #G170-47 
   -2.97    -0.04     0.15     0.15     0.17     0.17  #HD13979 
    -2.8    -0.14     0.15     0.15     0.16     0.16  #HD26169 
   -3.18     0.04     0.15     0.15     0.16     0.16  #HE1320-1339 
   -2.69     0.92     0.06     0.06     0.16     0.16  #CS22875-029 
   -2.62     0.81     0.06     0.06     0.16     0.16  #CS22882-001 
   -3.43     0.67     0.13     0.13     0.13     0.13  #CS30315-029 
   -2.56     0.51        0        0        0        0  #HE0105-6141 
   -2.86     0.76        0        0        0        0  #HE0240-0807 
   -2.74     0.47        0        0        0        0  #HE0524-2055 
   -2.61     0.37        0        0        0        0  #HE2229-4153 
   -3.14    -0.22     0.05     0.05     0.11     0.11  #CS29493-090 
   -2.96    -0.32     0.05     0.05     0.11     0.11  #HE0305-4520 
   -2.75      0.1     0.15     0.15     0.08     0.08  #LAMOSTJ0102+0428 
   -2.71     0.47      0.2      0.2      0.2      0.2  #HE1429-0347 
   -2.81     -0.2      0.2      0.2     0.25     0.25  #HE2159-0551 
